Symbol,Company Name,Market Cap,Stock Price
IVZ,Invesco Ltd.,10.20B,23.00
AES,The AES Corporation,10.11B,14.19
DVA,DaVita Inc.,10.07B,150.72
ZBRA,Zebra Technologies Corporation,9.97B,202.72
BLDR,"Builders FirstSource, Inc.",9.74B,88.09
RVTY,"Revvity, Inc.",9.57B,85.57
MGM,MGM Resorts International,9.38B,36.68
MOS,The Mosaic Company,9.30B,29.31
AOS,A. O. Smith Corporation,9.24B,66.84
FRT,Federal Realty Investment Trust,9.01B,104.49
BAX,Baxter International Inc.,8.95B,17.40
HSIC,"Henry Schein, Inc.",8.67B,75.57
NCLH,Norwegian Cruise Line Holdings Ltd.,8.60B,18.87
ARE,"Alexandria Real Estate Equities, Inc.",8.39B,48.41
BXP,"BXP, Inc.",8.25B,52.01
SWKS,"Skyworks Solutions, Inc.",8.23B,54.74
TECH,Bio-Techne Corporation,7.96B,50.85
CAG,"Conagra Brands, Inc.",7.85B,16.41
TAP,Molson Coors Beverage Company,7.77B,43.61
MOH,"Molina Healthcare, Inc.",7.68B,149.20
CRL,"Charles River Laboratories International, Inc.",7.65B,155.46
FDS,FactSet Research Systems Inc.,7.63B,205.65
POOL,Pool Corporation,7.60B,206.64
EPAM,"EPAM Systems, Inc.",7.42B,137.14
MTCH,"Match Group, Inc.",7.16B,30.79
PAYC,"Paycom Software, Inc.",6.82B,125.71
CPB,The Campbell's Company,6.47B,21.71
LW,"Lamb Weston Holdings, Inc.",5.63B,40.55
PCG,PG&E Corporation,4.80B,18.14
NWS,News Corporation,3.79B,26.76
